---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: JE879C
Date: 13-10-2016
Time: 10:48
Start Frequency (Hz): 10
Stop Frequency (Hz): 50000
Number of Points: 401
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): 10
Receiver Bandwidth (Hz): 100
Reference Signal: CH1
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 0
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR2: Gain (Real),TR2: Gain (Imag),TR2: Gain (Degree)
44.3935372535804,0.99895180357918,-0.00395596650027338,-0.226896831950683
45.3489437159875,0.999008724609327,-0.00394665009837108,-0.226349592260204
46.3249117638163,0.999253569748622,-0.00414971959831295,-0.237937656220821
47.3218839090359,0.999239273489637,-0.00413224077298242,-0.236938852259819
48.3403121870467,0.999304472975772,-0.00439411334904174,-0.251937756509159
49.3806583616367,0.999451969061054,-0.00448408508727186,-0.257058302553614
50.4433941343492,0.99954192196053,-0.00463257877992053,-0.265546953103833
51.5290013583562,0.999617715176894,-0.00470503899339779,-0.269679980576758
52.6379722569341,0.999753931547615,-0.00475674530072414,-0.272606453249861
53.7708096466428,0.999977538511765,-0.00499578478112516,-0.286241431360007
54.9280271653059,0.999986773537503,-0.00497863094083111,-0.285255956716934
56.1101495048988,1.00020679911205,-0.00524762936680483,-0.300602092223698
