---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: JE879C
Date: 13-10-2016
Time: 11:03
Start Frequency (Hz): 10
Stop Frequency (Hz): 50000
Number of Points: 401
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): 10
Receiver Bandwidth (Hz): 100
Reference Signal: CH1
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 0
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR2: Impedance (Real),TR2: Impedance (Imag),TR2: Impedance (absolut)
49.3806583616367,3.03725846389057,-15.1641376239695,15.4653163192727
50.4433941343492,3.0225822845419,-14.853608708869,15.1580241239752
51.5290013583562,3.00835962684594,-14.5461533176394,14.8539827650603
52.6379722569341,2.99433291299622,-14.2413820924034,14.5527658366264
53.7708096466428,2.98042671934379,-13.94022302016,14.255271350668
54.9280271653059,2.96754813599122,-13.6516127289634,13.9704284845176
56.1101495048988,2.95474964176564,-13.3667580712798,13.6894399732654
57.3177126494483,2.94284425876717,-13.0937791163684,13.4204092292152
58.5512641180522,2.93064641788945,-12.8167273801934,13.1475164637618
59.811363213129,2.91917323306674,-12.5506309046292,12.885647382607
61.0985812740099,2.90786917536297,-12.296099651428,12.6352589913651
62.4135019359896,2.89716076162632,-12.0383016976901,12.3820130933268
