---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: JE879C
Date: 13-10-2016
Time: 10:47
Start Frequency (Hz): 10
Stop Frequency (Hz): 50000
Number of Points: 401
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): 10
Receiver Bandwidth (Hz): 100
Reference Signal: CH1
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 0
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR1: Gain (Real),TR1: Gain (Imag),TR1: Gain (dB)
43.4582591874183,0.998864137724067,-0.00384221964422488,-0.00980732301022713
44.3935372535804,0.998929022767467,-0.00388917090831661,-0.00924154463311131
45.3489437159875,0.999136740912023,-0.00395774860039127,-0.00743326749068507
46.3249117638163,0.999134138166192,-0.0041784878882917,-0.00744808059305801
47.3218839090359,0.999353575563498,-0.00419630928406589,-0.00554001360275477
48.3403121870467,0.999332678357875,-0.00427150225137618,-0.00571887164611986
49.3806583616367,0.999398486287247,-0.00441550274814931,-0.0051414796474053
50.4433941343492,0.99950367367265,-0.00456258090255313,-0.00422160932095104
51.5290013583562,0.999604681785968,-0.00462227202143958,-0.00334150809786756
52.6379722569341,0.999825567729253,-0.00475453465011171,-0.00141702358895792
53.7708096466428,0.999855130065451,-0.00501554675704202,-0.0011491352755785
