---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: JE879C
Date: 13-10-2016
Time: 11:05
Start Frequency (Hz): 10
Stop Frequency (Hz): 50000
Number of Points: 401
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): 10
Receiver Bandwidth (Hz): 100
Reference Signal: CH1
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 0
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR2: Impedance (Real),TR2: Impedance (Imag),TR2: Impedance (Ls)
44.3935372535804,1020.67691256838,-0.024856842110832,-8.91140813807223E-05
45.3489437159875,1020.87563032915,-0.0584335857640149,-0.00020507630949844
46.3249117638163,1020.6553375352,0.0148215704680596,5.09213318398387E-05
47.3218839090359,1020.60720244768,0.00635564548195845,2.13755732324133E-05
48.3403121870467,1020.62933565116,-0.143636035459181,-0.000472905200963454
49.3806583616367,1020.6600430028,0.118085642665557,0.000380592611802993
50.4433941343492,1020.38900631091,-0.0630515988151129,-0.000198935337192923
51.5290013583562,1020.71936038972,0.0123565243192971,3.8164953191596E-05
52.6379722569341,1020.86639990576,-0.0398462222168692,-0.000120478106534916
53.7708096466428,1020.58274482538,-0.0258830144294145,-7.66105200132014E-05
54.9280271653059,1020.68599542123,0.0554257680513753,0.000160597156229434
